yyyymmdd,open,close,ma020,ma050,ma100,ma200,goldenCross,deathCross,Year,Quarter,Month,Day,YearAndMonthNumber
20190608,1.385,$1.37,$1.37,$1.30,$1.37,$1.37,"","",2019,Qtr 2,June,7,201906
20190607,1.35,$1.38,$1.37,$1.29,$1.37,$1.37,"","",2019,Qtr 2,June,6,201906
20190606,1.345,$1.33,$1.36,$1.29,$1.36,$1.36,"","",2019,Qtr 2,June,5,201906
20190605,1.36,$1.33,$1.35,$1.28,$1.35,$1.35,"","",2019,Qtr 2,June,4,201906
20190604,1.34,$1.34,$1.35,$1.28,$1.35,$1.35,"","",2019,Qtr 2,June,3,201906
20190601,1.32,$1.31,$1.34,$1.27,$1.34,$1.34,"","",2019,Qtr 2,May,31,201906
20190531,1.325,$1.31,$1.34,$1.26,$1.34,$1.34,"","",2019,Qtr 2,May,30,201905
20190530,1.285,$1.32,$1.33,$1.25,$1.33,$1.33,"","",2019,Qtr 2,May,29,201905
20190529,1.3,$1.28,$1.33,$1.25,$1.33,$1.33,"","",2019,Qtr 2,May,28,201905
20190528,1.3,$1.30,$1.33,$1.25,$1.33,$1.33,"","",2019,Qtr 2,May,27,201905
20190525,1.405,$1.29,$1.32,$1.24,$1.32,$1.32,"","",2019,Qtr 2,May,24,201905
20190524,1.265,$1.29,$1.32,$1.23,$1.32,$1.32,"","",2019,Qtr 2,May,23,201905
20190523,1.28,$1.30,$1.32,$1.23,$1.32,$1.32,"","",2019,Qtr 2,May,22,201905
20190522,1.265,$1.28,$1.31,$1.22,$1.31,$1.31,"","",2019,Qtr 2,May,21,201905
20190521,1.275,$1.29,$1.31,$1.21,$1.31,$1.31,"","",2019,Qtr 2,May,20,201905
20190518,1.285,$1.27,$1.31,$1.20,$1.31,$1.31,"","",2019,Qtr 2,May,17,201905
20190517,1.28,$1.28,$1.30,$1.19,$1.31,$1.31,"","",2019,Qtr 2,May,16,201905
20190516,1.28,$1.28,$1.30,$1.18,$1.31,$1.31,"","",2019,Qtr 2,May,15,201905
20190515,1.265,$1.28,$1.29,$1.17,$1.31,$1.31,"","",2019,Qtr 2,May,14,201905
20190514,1.28,$1.28,$1.29,$1.16,$1.30,$1.30,"","",2019,Qtr 2,May,13,201905
20190511,1.285,$1.29,$1.29,$1.15,$1.30,$1.30,"","",2019,Qtr 2,May,10,201905
20190510,1.32,$1.30,$1.29,$1.14,$1.30,$1.30,"","",2019,Qtr 2,May,9,201905
20190509,1.26,$1.32,$1.29,$1.13,$1.30,$1.30,"","",2019,Qtr 2,May,8,201905
20190508,1.29,$1.28,$1.29,$1.13,$1.30,$1.30,"","",2019,Qtr 2,May,7,201905
20190507,1.305,$1.30,$1.29,$1.12,$1.30,$1.30,"","",2019,Qtr 2,May,6,201905
20190504,1.28,$1.31,$1.29,$1.11,$1.30,$1.30,"","",2019,Qtr 2,May,3,201905
20190503,1.265,$1.29,$1.29,$1.10,$1.30,$1.30,"","",2019,Qtr 2,May,2,201905
20190502,1.245,$1.27,$1.29,$1.09,$1.30,$1.30,"","",2019,Qtr 2,May,1,201905
20190501,1.27,$1.26,$1.29,$1.09,$1.30,$1.30,"","",2019,Qtr 2,April,30,201905
20190430,1.26,$1.28,$1.28,$1.08,$1.30,$1.30,"","",2019,Qtr 2,April,29,201904
20190427,1.25,$1.27,$1.28,$1.07,$1.30,$1.30,"","",2019,Qtr 2,April,26,201904
20190425,1.28,$1.25,$1.28,$1.06,$1.30,$1.30,"","",2019,Qtr 2,April,24,201904
20190424,1.42,$1.28,$1.28,$1.06,$1.30,$1.30,"","",2019,Qtr 2,April,23,201904
20190419,1.26,$1.34,$1.29,$1.05,$1.30,$1.30,"","",2019,Qtr 2,April,18,201904
20190418,1.3,$1.27,$1.28,$1.04,$1.30,$1.30,"","",2019,Qtr 2,April,17,201904
20190417,1.11,$1.25,$1.28,$1.04,$1.29,$1.29,"","",2019,Qtr 2,April,16,201904
20190416,1.105,$1.08,$1.26,$1.03,$1.29,$1.29,"","",2019,Qtr 2,April,15,201904
20190413,1.1,$1.11,$1.24,$1.03,$1.28,$1.28,"","",2019,Qtr 2,April,12,201904
20190412,1.07,$1.08,$1.23,$1.03,$1.28,$1.28,"","",2019,Qtr 2,April,11,201904
20190411,1.055,$1.07,$1.21,$1.03,$1.27,$1.27,"","",2019,Qtr 2,April,10,201904
20190410,1.065,$1.06,$1.19,$1.03,$1.27,$1.27,"","",2019,Qtr 2,April,9,201904
20190409,1.075,$1.07,$1.18,$1.03,$1.26,$1.26,"","",2019,Qtr 2,April,8,201904
20190405,1.115,$1.06,$1.16,$1.04,$1.26,$1.26,"","",2019,Qtr 2,April,4,201904
20190404,1.08,$1.11,$1.15,$1.04,$1.26,$1.26,"","",2019,Qtr 2,April,3,201904
20190403,1,$1.08,$1.13,$1.04,$1.25,$1.25,"","",2019,Qtr 2,April,2,201904
20190402,0.965,$0.99,$1.12,$1.04,$1.25,$1.25,"","",2019,Qtr 2,April,1,201904
20190401,0.94,$0.96,$1.11,$1.04,$1.24,$1.24,"","",2019,Qtr 1,March,31,201904
20190329,0.955,$0.96,$1.08,$1.04,$1.23,$1.23,"","",2019,Qtr 1,March,28,201903
20190328,0.98,$0.96,$1.06,$1.04,$1.23,$1.23,"","",2019,Qtr 1,March,27,201903
20190327,0.99,$0.97,$1.04,$1.05,$1.22,$1.22,"","",2019,Qtr 1,March,26,201903
20190326,0.97,$0.99,$1.03,$1.05,$1.22,$1.22,"","",2019,Qtr 1,March,25,201903
20190325,0.97,$0.98,$1.03,$1.05,$1.21,$1.21,"","",2019,Qtr 1,March,24,201903
20190322,1,$1.00,$1.02,$1.06,$1.21,$1.21,"","",2019,Qtr 1,March,21,201903
20190321,1.005,$1.00,$1.01,$1.06,$1.21,$1.21,"","",2019,Qtr 1,March,20,201903
20190320,1.025,$1.00,$1.01,$1.06,$1.20,$1.20,"","",2019,Qtr 1,March,19,201903
20190319,1.03,$1.03,$1.01,$1.06,$1.20,$1.20,"","",2019,Qtr 1,March,18,201903
20190318,1.04,$1.04,$1.01,$1.06,$1.20,$1.20,"","",2019,Qtr 1,March,17,201903
20190315,1.015,$1.04,$1.01,$1.07,$1.19,$1.19,"","",2019,Qtr 1,March,14,201903
20190314,1.005,$1.01,$1.00,$1.07,$1.19,$1.19,"","",2019,Qtr 1,March,13,201903
20190313,1.035,$1.02,$1.00,$1.07,$1.19,$1.19,"","",2019,Qtr 1,March,12,201903
20190312,1.03,$1.04,$1.00,$1.08,$1.19,$1.19,"","",2019,Qtr 1,March,11,201903
20190311,1.02,$1.02,$1.00,$1.08,$1.18,$1.18,"","",2019,Qtr 1,March,10,201903
20190308,1.02,$1.02,$1.01,$1.08,$1.18,$1.18,"","",2019,Qtr 1,March,7,201903
20190307,1.05,$1.01,$1.01,$1.08,$1.18,$1.18,"","",2019,Qtr 1,March,6,201903
20190306,1.05,$1.06,$1.02,$1.09,$1.18,$1.18,"","",2019,Qtr 1,March,5,201903
20190305,1.06,$1.05,$1.02,$1.09,$1.17,$1.17,"","",2019,Qtr 1,March,4,201903
